alkene,ligand,substrate,ee
C=CC1=CC=CC=C1,CC(C)[C@H]1COC2=[N+]1[Cu](OS(=O)(C(F)(F)F)=O)[N+]3=C2C=CC=C3,[N-]=[N+]=CC(OCC)=O,4
C=CC1=CC=CC=C1,[H]C1=CC(OC)=CC2=[N+]1[Cu](OS(=O)(C(F)(F)F)=O)[N+]3=C2OC[C@H]3C4=CC=CC=C4,[N-]=[N+]=CC(OCC)=O,4
C=CC1=CC=CC=C1,CC1=CC=CC2=[N+]1[Cu](OS(=O)(C(F)(F)F)=O)[N+]3=C2OC[C@H]3C4=CC=CC=C4,[N-]=[N+]=CC(OCC)=O,5
C=CC1=CC=CC=C1,CC(C)[C@H]1COC2=[N+]1[Cu](OS(=O)(C(F)(F)F)=O)[N+]3=C2C=CC=C3C#N,[N-]=[N+]=CC(OCC)=O,8
C=CC1=CC=CC=C1,[H]C1OC(C2=[N+]([Cu]3OS(=O)(C(F)(F)F)=O)C4=C(C=CC5=C4N=CC=C5)C=C2)=[N+]3[C@H]1C,[N-]=[N+]=CC(OCC)=O,9
C=CC1=CC=CC=C1,[H]C1=CC(Cl)=CC2=[N+]1[Cu](OS(=O)(C(F)(F)F)=O)[N+]3=C2OC[C@@H]3C(C)C,[N-]=[N+]=CC(OCC)=O,10
C=CC1=CC=CC=C1,CC(C)(C1=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)C=CC=C1)C3=[N+]2[C@@H](CC4=CC=CC=C4)CO3,O=C(C=[N+]=[N-])O[C@H]1[C@@H]([C@H](C)C2=CC=CC=C2)CC[C@@H](C)C1,14
C=CC1=CC=CC=C1,CC(C)(C1=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)C=CC=C1)C3=[N+]2[C@@H](CC4=CC=CC=C4)CO3,[N-]=[N+]=CC(OC(C1CCCCC1)C2CCCCC2)=O,14
C=CC1=CC=CC=C1,CC(C)(C1=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)C=CC=C1)C3=[N+]2[C@@H](C(C)(C)C)CO3,O=C(C=[N+]=[N-])O[C@H]1[C@@H]([C@H](C)C2=CC=CC=C2)CC[C@@H](C)C1,15
C=CC1=CC=CC=C1,CC(C)(C1=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)C=CC=C1)C3=[N+]2[C@@H](C(C)(C)C)CO3,[N-]=[N+]=CC(OCC)=O,16
C=CC1=CC=CC=C1,CC(C)(C1=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)C=CC=C1)C3=[N+]2[C@@H](CC4=CC=CC=C4)CO3,[N-]=[N+]=CC(OCC)=O,18
C=CC1=CC=C(C2=CC=CC=C2)C=C1,CC(C1=[N+]2CCO1)(C)C3=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)[C@@H](C4=CC=CC=C4)CO3,[N-]=[N+]=CC(OCC)=O,19
C=CC1=CC=CC=C1,CC(C1=[N+]2CCO1)(C)C3=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)[C@@H](C4=CC=CC=C4)CO3,[N-]=[N+]=CC(OCC)=O,20
C=CC1=CC=CC=C1,[H][C@@]1(C2=CC=CC=C2)COC3=[N+]1[Cu]([N+]4=C3C=CC5=C4C=CC=C5)OS(=O)(C(F)(F)F)=O,[N-]=[N+]=CC(OCC)=O,20
C=CC1=CC=CC=C1,[H][C@]1(C(C)(C)C)COC2=[N+]1[Cu]([N+]3=C2C=CC4=C3C=CC=C4)OS(=O)(C(F)(F)F)=O,[N-]=[N+]=CC(OCC)=O,21
C=CC1=CC=CC=C1,CC(C1=[N+]2CCO1)(C)C3=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)[C@@H](C4=CC=CC=C4)CO3,[N-]=[N+]=CC(OC(C)(C)C)=O,25
C=CC1=CC=CC=C1,CC(C1=[N+]2CCO1)(C)C3=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)[C@@H](C(C)(C)C)CO3,[N-]=[N+]=CC(OC(C)(C)C)=O,26
C=CC1=CC=CC=C1,[H]C1=CC(OC)=CC2=[N+]1[Cu](OS(=O)(C(F)(F)F)=O)[N+]3=C2OC[C@@H]3C(C)C,[N-]=[N+]=CC(OCC)=O,26
C=CC1=CC=C(C2=CC=CC=C2)C=C1,CC(C1=[N+]2CCO1)(C)C3=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)[C@@H](C(C)(C)C)CO3,[N-]=[N+]=CC(OCC)=O,27
C=CC1=CC=CC=C1,CC(C)[C@H]1COC2=[N+]1[Cu](OS(=O)(C(F)(F)F)=O)[N+]3=C2C=CC=C3C(C)(C)C,[N-]=[N+]=CC(OCC)=O,27
C=CC1=CC=CC=C1,CC(C)(C)[C@H]1COC2=[N+]1[Cu](OS(=O)(C(F)(F)F)=O)[N+](C=CC=C3)=C3N2,[N-]=[N+]=CC(OCC)=O,28
C=CC1=CC=CC=C1,CC(C1=[N+]2CCO1)(C)C3=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)[C@@H](C(C)(C)C)CO3,[N-]=[N+]=CC(OCC)=O,29
C=CC1=CC=CC=C1,CC(C=C1)=CC=C1C2=CC=CC3=[N+]2[Cu](OS(=O)(C(F)(F)F)=O)[N+]4=C3OCC4,[N-]=[N+]=CC(OCC)=O,29
C=CC1=CC=CC=C1,CC(C=C1)=CC=C1C2=CC=CC3=[N+]2[Cu](OS(=O)(C(F)(F)F)=O)[N+]4=C3OC[C@@H]4C(C)C,[N-]=[N+]=CC(OCC)=O,29
C=CC1=CC=CC=C1,CC(C)[C@H]1COC2=[N+]1[Cu](OS(=O)(C(F)(F)F)=O)[N+](C(C)=CC=C3)=C3N2,[N-]=[N+]=CC(OCC)=O,29
C=CC1=CC=CC=C1,CC(C)[C@H]1COC2=[N+]1[Cu](OS(=O)(C(F)(F)F)=O)[N+](C=CC=C3)=C3N2,[N-]=[N+]=CC(OCC)=O,30
C=CC1=CC=CC=C1,CC(C)(C)[C@H]1COC2=[N+]1[Cu](OS(=O)(C(F)(F)F)=O)[N+](C(C)=CC=C3)=C3N2,[N-]=[N+]=CC(OCC)=O,30
C=CC1=CC=C(C)C=C1,CC(C)(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,NS(C1=CC=C(C)C=C1)(=O)=O,32
C=CC1=CC=CC=C1,CC(C1=[N+]2CCO1)(C)C3=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)[C@H]4[C@@H](CC5=C4C=CC=C5)O3,[N-]=[N+]=CC(OCC)=O,33
C=CC1=CC=CC=C1,CC(C)(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,NS(C1=CC=C(C=C1)OC)(=O)=O,33
C=CC1=CC=CC=C1,CC1=CC=CC2=[N+]1[Cu](OS(=O)(C(F)(F)F)=O)[N+]3=C2OC[C@H]3C(C)C,[N-]=[N+]=CC(OCC)=O,34
C=CC1=CC=CC=C1Cl,O=S(O[Cu]1[N+]2=C(CC3=[N+]1[C@@H](C4=CC=CC=C4)CO3)OC[C@@H]2C5=CC=CC=C5)(C(F)(F)F)=O,ClC(Cl)(Cl)C(C)(C)OC(NOS(C1=CC=C(C)C=C1)(=O)=O)=O,34
C=CC1=CC=CC=C1,O=S(O[Cu]1[N+]2=C(CC3=[N+]1[C@@H](CC4=CC=CC=C4)CO3)OC[C@@H]2CC5=CC=CC=C5)(C(F)(F)F)=O,[N-]=[N+]=CC(OCC)=O,36
C=CC1=CC(C)=CC=C1,CC(C)(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,NS(C1=CC=C(C)C=C1)(=O)=O,37
C=CC1=CC=C(C(F)(F)F)C=C1,CC(C)(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,NS(C1=CC=C(C)C=C1)(=O)=O,38
C=CC1=CC=CC=C1,CC(C)[C@H]1COC2=[N+]1[Cu]([N+]3=C2C=CC4=C3C5=C(C=CC=C5)C=C4)OS(=O)(C(F)(F)F)=O,[N-]=[N+]=CC(OCC)=O,39
C=CC1=CC=C(F)C=C1,CC(C)(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,NS(C1=CC=C(C)C=C1)(=O)=O,40
C=CC1=CC=CC=C1,O=S(O[Cu]1[N+]2=C(C3(CC(C=CC=C4)=C4C(C=CC=C5)=C5C3)C6=[N+]1[C@H](CC7=CC=CC=C7)CO6)OC[C@H]2CC8=CC=CC=C8)(C(F)(F)F)=O,[N-]=[N+]=CC(OCC)=O,41
C=CC1=CC=CC=C1,CC(C1=[N+]2[C@@H](CO)[C@H](C3=CC=CC=C3)O1)(C)C4=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)[C@@H](CO)[C@H](C5=CC=CC=C5)O4,[N-]=[N+]=CC(OC)=O,42
C=CC1=CC=CC=C1,CC([C@@H]1COC(C2(CC(C=CC=C3)=C3C(C=CC=C4)=C4C2)C5=[N+]6[C@H](C(C)C)CO5)=[N+]1[Cu]6OS(=O)(C(F)(F)F)=O)C,[N-]=[N+]=CC(OCC)=O,42
C=CC1=CC(C)=CC=C1,CC(C)(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,NS(C1=CC=C(Cl)C=C1)(=O)=O,42
C=CC1=CC=CC=C1,CC1=CC=CC2=[N+]1[Cu](OS(=O)(C(F)(F)F)=O)[N+]3=C2OC[C@H]3C(C)(C)C,[N-]=[N+]=CC(OCC)=O,43
C=CC1=CC=C(C(F)(F)F)C=C1,CC(C)(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,NS(C1=CC=C(Cl)C=C1)(=O)=O,43
C=CC1=CC=C(C)C=C1,CC(C)(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,NS(C1=CC=C(Cl)C=C1)(=O)=O,43
C=CC1=CC=CC=C1,CC(C)(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,NS(C1=CC=C(C(C)(C)C)C=C1)(=O)=O,44
C=CC1=CC=CC=C1,CC(C)(C)[C@H]1COC2=[N+]1[Cu]([N+]3=C2C=CC4=C3C5=C(C=CC=C5)C=C4)OS(=O)(C(F)(F)F)=O,[N-]=[N+]=CC(OCC)=O,45
C=CC1=CC=C(C)C=C1,CC(C)(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,NS(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O,45
C=CC1=CC([N+]([O-])=O)=CC=C1,CC(C)(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,NS(C1=CC=C(C)C=C1)(=O)=O,45
C=CC1=CC=CC=C1,CC(C1=[N+]2[C@@H](COC(C)=O)[C@H](C3=CC=CC=C3)O1)(C)C4=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)[C@@H](COC(C)=O)[C@H](C5=CC=CC=C5)O4,[N-]=[N+]=CC(OC)=O,46
C=CC1=CC=C([N+]([O-])=O)C=C1,CC(C1=[N+]2C(C(C=CC=C3)=C3C4)C4O1)(C)C5=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)[C@@H]6[C@@H](CC7=C6C=CC=C7)O5,ClC(Cl)(Cl)COC(NOS(C1=CC=C(C)C=C1)(=O)=O)=O,46
C=CC1=CC=C([N+]([O-])=O)C=C1,CC(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,ClC(Cl)(Cl)COC(NOS(C1=CC=C(C)C=C1)(=O)=O)=O,46
C=CC1=CC=CC=C1,OC[C@@H]1COC(CC2=[N+]3[C@H](CO)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,[N-]=[N+]=CC(OCC)=O,48
C=CC1=CC=CC=C1,CC(C)(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,NS(C1=CC=C(C)C=C1)(=O)=O,48
C=CC1=CC([N+]([O-])=O)=CC=C1,CC(C)(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,NS(C1=CC=C(Cl)C=C1)(=O)=O,48
C=CC1=CC=CC=C1,[H]C1([H])O[C@@H](C2=[N+]3[C@@H](C(C)C)CO2)[C@H](C4=[N+]([Cu]3OS(=O)(C(F)(F)F)=O)[C@@H](C(C)C)CO4)O1,[N-]=[N+]=CC(OCC)=O,50
C=CC1=CC=CC=C1,CC1=CC(OC)=CC2=[N+]1[Cu](OS(=O)(C(F)(F)F)=O)[N+]3=C2OC[C@@H]3C(C)(C)C,[N-]=[N+]=CC(OCC)=O,50
O=C(C)OC/C=C(C)\C,O=S(O[Cu]1[N+]2=C(CC3=[N+]1[C@@H](C4=CC=CC=C4)CO3)OC[C@@H]2C5=CC=CC=C5)(C(F)(F)F)=O,[N-]=[N+]=CC(OCC)=O,50
C=CC1=CC=C([N+]([O-])=O)C=C1,CC(C1=[N+]2[C@@H](C3=CC=CC=C3)CO1)(C)C4=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)[C@@H](C5=CC=CC=C5)CO4,ClC(Cl)(Cl)COC(NOS(C1=CC=C(C)C=C1)(=O)=O)=O,50
C=CC1=CC=CC=C1Cl,CC(C1=[N+]2C(C(C=CC=C3)=C3C4)C4O1)(C)C5=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)[C@@H]6[C@@H](CC7=C6C=CC=C7)O5,ClC(Cl)(Cl)C(C1=CC=CC=C1)OC(NOS(C2=CC=C(C)C=C2)(=O)=O)=O,50
C=CC1=CC=CC=C1,CC(C)(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,NS(C1=CC=CC=C1)(=O)=O,50
C=CC1=CC=CC=C1,CC(C1=[N+]2[C@@H](C3=CC=CC=C3)C(C4=CC=C(C)C=C4)(C5=CC=C(C)C=C5)O1)(C)C6=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)[C@@H](C7=CC=CC=C7)C(C8=CC=C(C)C=C8)(C9=CC=C(C)C=C9)O6,[N-]=[N+]=CC(OCC)=O,51
C=CC1=CC=C(F)C=C1,CC(C)(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,NS(C1=CC=C(Cl)C=C1)(=O)=O,51
C=CC1=CC=C(C(F)(F)F)C=C1,CC(C)(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,NS(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O,51
C=CC1=CC=CC=C1,CC(C)(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,NS(C1=CC=C(Cl)C=C1)(=O)=O,52
C=CC1=CC([N+]([O-])=O)=CC=C1,CC(C)(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,NS(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O,52
C=CC1=CC=CC=C1,CC(C1=[N+]2[C@@H](C(C)(C)C)C(C3=CC=C(C)C=C3)(C4=CC=C(C)C=C4)O1)(C)C5=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)[C@@H](C(C)(C)C)C(C6=CC=C(C)C=C6)(C7=CC=C(C)C=C7)O5,[N-]=[N+]=CC(OCC)=O,55
C=CC1=CC=CC=C1Cl,CC1(C)OC(C(C)(C)C2=[N+]3[C@H](C4=CC=CC=C4)C(C)(C)O2)=[N+]([Cu]3OS(=O)(C(F)(F)F)=O)[C@@H]1C5=CC=CC=C5,ClC(Cl)(Cl)C(C)(C)OC(NOS(C1=CC=C(C)C=C1)(=O)=O)=O,56
C=CC1=CC=CC=C1Cl,CC1(C)OC(C(CC)(CC)C2=[N+]3[C@@H](C4=CC=CC=C4)C(C)(C)O2)=[N+]([Cu]3OS(=O)(C(F)(F)F)=O)[C@H]1C5=CC=CC=C5,ClC(Cl)(Cl)C(C)(C)OC(NOS(C1=CC=C(C)C=C1)(=O)=O)=O,56
C=CC1=CC(C)=CC=C1,CC(C)(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,NS(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O,57
C=CC1=CC=CC=C1Cl,CC1(C)OC(C2(CCCC2)C3=[N+]4[C@@H](C5=CC=CC=C5)C(C)(C)O3)=[N+]([Cu]4OS(=O)(C(F)(F)F)=O)[C@H]1C6=CC=CC=C6,ClC(Cl)(Cl)C(C)(C)OC(NOS(C1=CC=C(C)C=C1)(=O)=O)=O,58
C=CC1=CC=CC=C1,CC(C1=[N+]2[C@@H](C(C)C)C(C3=CC=C(C)C=C3)(C4=CC=C(C)C=C4)O1)(C)C5=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)[C@@H](C(C)C)C(C6=CC=C(C)C=C6)(C7=CC=C(C)C=C7)O5,[N-]=[N+]=CC(OCC)=O,59
C=CC1=CC=CC=C1,O=S(O[Cu]([N+]1=C2OC[C@@H]1C(C)C)[N+]3=C(CC2)OC[C@@H]3C(C)C)(C(F)(F)F)=O,[N-]=[N+]=CC(OCC)=O,59
C=CC1=CC=C(Br)C=C1,CC(C1=[N+]2[C@@H](C3=CC=CC=C3)CO1)(C)C4=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)[C@@H](C5=CC=CC=C5)CO4,O=S(/N=I/C1=CC=CC=C1)(C2=CC=C([N+]([O-])=O)C=C2)=O,59
O=C1N(/C(O[Si](C)(C)C(C)(C)C)=C/C)CCO1,CC(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,O=S([O-])(C(F)(F)F)=O,59
C=CC1=CC=CC=C1,O=S(O[Cu]1[N+]2=C(CC3=[N+]1[C@@H](C4=CC=CC=C4)CO3)OC[C@@H]2C5=CC=CC=C5)(C(F)(F)F)=O,[N-]=[N+]=CC(OCC)=O,60
C=CC1=CC=CC=C1,O=S(O[Cu]1[N+]2=C(C3(CC(C=CC=C4)=C4C(C=CC=C5)=C5C3)C6=[N+]1[C@@H](C7=CC=CC=C7)CO6)OC[C@@H]2C8=CC=CC=C8)(C(F)(F)F)=O,[N-]=[N+]=CC(OCC)=O,60
C=CC1=CC=C([N+]([O-])=O)C=C1,CC1(C)OC(C(C)(C)C2=[N+]3[C@H](C4=CC=CC=C4)C(C)(C)O2)=[N+]([Cu]3OS(=O)(C(F)(F)F)=O)[C@@H]1C5=CC=CC=C5,O=C(NOS(C1=CC=C(C)C=C1)(=O)=O)OC(CCl)CCl,60
C=CC1=CC=CC=C1Cl,CC(C1=[N+]2[C@@H](C3=CC=CC=C3)CO1)(C)C4=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)[C@@H](C5=CC=CC=C5)CO4,ClC(Cl)(Cl)C(C1=CC=CC=C1)OC(NOS(C2=CC=C(C)C=C2)(=O)=O)=O,60
C=CC1=CC=CC=C1Cl,CC1(C)OC(CC2=[N+]3[C@H](C4=CC=CC=C4)C(C)(C)O2)=[N+]([Cu]3OS(=O)(C(F)(F)F)=O)[C@@H]1C5=CC=CC=C5,ClC(Cl)(Cl)C(C1=CC=CC=C1)OC(NOS(C2=CC=C(C)C=C2)(=O)=O)=O,60
O=C1/C(C(OC(C)(C)O1)=O)=C(C)\C=C\C2=CC=C(C)C=C2,O=C(O[Pd]1(OC(C(F)(F)F)=O)[N+]2=CC=CC=C2C3=[N+]1[C@@H](C(C=CC=C4)=C4C5)C5O3)C(F)(F)F,OB(C1=CC=CC=C1)O,60
C=CC1=CC=CC=C1,O=S(O[Cu]1[N+]2=C(C3(CC(C=CC=C4)=C4C(C=CC=C5)=C5C3)C6=[N+]1[C@H](C7=CC=CC=C7)CO6)OC[C@H]2C8=CC=CC=C8)(C(F)(F)F)=O,[N-]=[N+]=CC(OCC)=O,61
C=CC1=CC=C(Cl)C=C1,CC1(C)OC(C(C)(C)C2=[N+]3[C@H](C4=CC=CC=C4)C(C)(C)O2)=[N+]([Cu]3OS(=O)(C(F)(F)F)=O)[C@@H]1C5=CC=CC=C5,ClC(Cl)(Cl)C(C1=CC=CC=C1)OC(NOS(C2=CC=C(C)C=C2)(=O)=O)=O,62
C=CC1=CC=C(Br)C=C1,CC1(C)OC(C(C)(C)C2=[N+]3[C@H](C4=CC=CC=C4)C(C)(C)O2)=[N+]([Cu]3OS(=O)(C(F)(F)F)=O)[C@@H]1C5=CC=CC=C5,ClC(Cl)(Cl)C(C1=CC=CC=C1)OC(NOS(C2=CC=C(C)C=C2)(=O)=O)=O,62
C=CC1=CC(Br)=CC=C1,CC1(C)OC(C(C)(C)C2=[N+]3[C@H](C4=CC=CC=C4)C(C)(C)O2)=[N+]([Cu]3OS(=O)(C(F)(F)F)=O)[C@@H]1C5=CC=CC=C5,ClC(Cl)(Cl)C(C1=CC=CC=C1)OC(NOS(C2=CC=C(C)C=C2)(=O)=O)=O,62
C=CC1=CC=C(C2=CC=CC=C2)C=C1,CC(C1=[N+]2[C@@H](C3=CC=CC=C3)CO1)(C)C4=[N+]([Cu]2OS(=O)(C(F)(F)F)=O)[C@@H](C5=CC=CC=C5)CO4,[N-]=[N+]=CC(OCC)=O,63
C=CC1=CC=CC=C1,CC(C[C@@H]1COC(C2(CC(C=CC=C3)=C3C(C=CC=C4)=C4C2)C5=[N+]6[C@H](CC(C)C)CO5)=[N+]1[Cu]6OS(=O)(C(F)(F)F)=O)C,[N-]=[N+]=CC(OCC)=O,63
C=CC1=CC=CC=C1,CC(C)(C)[C@H]1COC(C(C)(C)C2=[N+]3[C@@H](C(C)(C)C)CO2)=[N+]1[Cu]3OS(=O)(C(F)(F)F)=O,O=S(/N=I/C1=CC=CC=C1)(C2=CC=C(C)C=C2)=O,63
